Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,98.6,-109.9,180,top
C2,10n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,102.85,-109.8552,180,top
C3,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.875,-62.9,0,top
C4,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.85,-60.4,0,top
C5,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,133.2744,-102.5024,90,top
C6,470n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.6428,-116.6116,0,top
C7,470n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.6428,-121.5392,180,top
C8,470n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.6936,-114.3256,0,top
C9,470n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,95.6428,-119.1008,180,top
C10,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.0934,-106.8204,180,top
C11,10n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,114.4088,-104.7092,0,top
C12,10n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.0844,-111.28,0,top
C13,10n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,113.342,-110.5004,180,top
C16,1n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,110.6792,-82.42,270,top
C17,1n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,92.0864,-81.0484,270,top
C21,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,110.7808,-78.365,270,top
C22,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,92.0864,-77.0442,270,top
C23,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,167.85,-123.65,90,top
C24,10u,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,161.91,-71.925,0,top
C25,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,166.99,-74.15,180,top
C26,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,166.99,-71.925,180,top
C27,10n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.4998,-71.217,0,top
C28,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,147.4614,-73.2706,180,top
C29,100n,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.4688,-120.0152,0,top
J1,DC Jack,BarrelJack_XKB_DC-005-5A-2.0-SMT_Horizontal,105,-59.7,270,top
Q1,S9013,SOT-23,133.2,-116.5,0,top
Q2,S9013,SOT-23,133.2744,-106.2616,270,top
Q3,S9012,SOT-23,133.3252,-110.224,270,top
Q4,2N7002,SOT-23,112.326,-107.6302,90,top
Q5,IRLML2060,SOT-23,161.0576,-134.5192,0,top
R1,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,102.6532,-107.4676,180,top
R2,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,98.5892,-107.4676,180,top
R3,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,100.6,-111.9,0,top
R4,47R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,129.4,-110.4,180,top
R5,22R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.1442,-113.5152,180,top
R6,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,133.1,-113.1,180,top
R7,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,137.0934,-109.0556,0,top
R8,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,110.0908,-104.6584,0,top
R9,100R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,98.7,-88.1,90,top
R10,100R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,102.4,-88.05,90,top
R11,100R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,94.9,-88.1,90,top
R12,100R,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,106.1,-88.1,90,top
R13,82k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.444,-82.42,90,top
R14,82k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,94.5248,-81.0484,90,top
R15,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,109.705,-75.2064,0,top
R16,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,108.3424,-78.4068,270,top
R17,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,93.3056,-74.038,180,top
R18,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,94.5248,-77.0442,270,top
R19,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,116.4784,-75.7604,0,top
R20,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,116.4276,-78.3512,0,top
R21,3k3,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,170.36,-104.115,270,top
R22,1k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,170.36,-99.035,90,top
R23,10k,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,159.565,-112.125,90,top
